day,weekday,start,end,time,shift
2024-09-01,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-09-01,Sunday,13:45:00,18:00:00,4.25,Cafe 2
2024-09-05,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-09-05,Thursday,14:45:00,20:00:00,5.25,Cafe 2
2024-09-06,Friday,14:45:00,20:00:00,5.25,Cafe 1
2024-09-06,Friday,14:45:00,20:00:00,5.25,Cafe 2
2024-09-07,Saturday,13:45:00,20:00:00,6.25,Cafe 1
2024-09-07,Saturday,13:45:00,20:00:00,6.25,Cafe 2
2024-09-08,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-09-08,Sunday,13:45:00,18:00:00,4.25,Cafe 2
2024-09-12,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-09-12,Thursday,14:45:00,20:00:00,5.25,Cafe 2
2024-09-13,Friday,14:45:00,20:00:00,5.25,Cafe 1
2024-09-13,Friday,14:45:00,20:00:00,5.25,Cafe 2
2024-09-14,Saturday,13:45:00,20:00:00,6.25,Cafe 1
2024-09-14,Saturday,13:45:00,20:00:00,6.25,Cafe 2
2024-09-15,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-09-15,Sunday,13:45:00,18:00:00,4.25,Cafe 2
2024-09-19,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-09-19,Thursday,14:45:00,20:00:00,5.25,Cafe 2
2024-09-20,Friday,14:45:00,20:00:00,5.25,Cafe 1
2024-09-20,Friday,14:45:00,20:00:00,5.25,Cafe 2
2024-09-21,Saturday,13:45:00,20:00:00,6.25,Cafe 1
2024-09-21,Saturday,13:45:00,20:00:00,6.25,Cafe 2
2024-09-22,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-09-22,Sunday,13:45:00,18:00:00,4.25,Cafe 2
2024-09-26,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-09-26,Thursday,14:45:00,20:00:00,5.25,Cafe 2
2024-09-27,Friday,14:45:00,20:00:00,5.25,Cafe 1
2024-09-27,Friday,14:45:00,20:00:00,5.25,Cafe 2
2024-09-28,Saturday,13:45:00,20:00:00,6.25,Cafe 1
2024-09-28,Saturday,13:45:00,20:00:00,6.25,Cafe 2
2024-09-29,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-09-29,Sunday,13:45:00,18:00:00,4.25,Cafe 2
