day,weekday,start,end,time,shift
2024-02-01,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-01,Thursday,14:45:00,20:00:00,5.25,Cafe 2
2024-02-02,Friday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-02,Friday,14:45:00,20:00:00,5.25,Cafe 2
2024-02-03,Saturday,13:45:00,20:00:00,6.25,Cafe 1
2024-02-03,Saturday,13:45:00,20:00:00,6.25,Cafe 2
2024-02-04,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-02-04,Sunday,13:45:00,18:00:00,4.25,Cafe 2
2024-02-08,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-08,Thursday,14:45:00,20:00:00,5.25,Cafe 2
2024-02-09,Friday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-09,Friday,14:45:00,20:00:00,5.25,Cafe 2
2024-02-10,Saturday,13:45:00,20:00:00,6.25,Cafe 1
2024-02-10,Saturday,13:45:00,20:00:00,6.25,Cafe 2
2024-02-11,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-02-11,Sunday,13:45:00,18:00:00,4.25,Cafe 2
2024-02-15,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-15,Thursday,14:45:00,20:00:00,5.25,Cafe 2
2024-02-16,Friday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-16,Friday,14:45:00,20:00:00,5.25,Cafe 2
2024-02-17,Saturday,13:45:00,20:00:00,6.25,Cafe 1
2024-02-17,Saturday,13:45:00,20:00:00,6.25,Cafe 2
2024-02-18,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-02-18,Sunday,13:45:00,18:00:00,4.25,Cafe 2
2024-02-22,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-22,Thursday,14:45:00,20:00:00,5.25,Cafe 2
2024-02-23,Friday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-23,Friday,14:45:00,20:00:00,5.25,Cafe 2
2024-02-24,Saturday,13:45:00,20:00:00,6.25,Cafe 1
2024-02-24,Saturday,13:45:00,20:00:00,6.25,Cafe 2
2024-02-25,Sunday,13:45:00,18:00:00,4.25,Cafe 1
2024-02-25,Sunday,13:45:00,18:00:00,4.25,Cafe 2
2024-02-29,Thursday,14:45:00,20:00:00,5.25,Cafe 1
2024-02-29,Thursday,14:45:00,20:00:00,5.25,Cafe 2
