day,weekday,start,end,time,shift
2024-10-01,Tuesday,16:15:00,22:00:00,5.75,Halle 1
2024-10-02,Wednesday,15:15:00,22:00:00,6.75,Halle 1
2024-10-03,Thursday,15:15:00,22:30:00,7.25,Halle 1
2024-10-04,Friday,12:45:00,18:15:00,5.5,Halle 1
2024-10-04,Friday,18:00:00,23:30:00,5.5,Halle 2
2024-10-05,Saturday,09:15:00,16:00:00,6.75,Halle 1
2024-10-05,Saturday,15:45:00,22:30:00,6.75,Halle 2
2024-10-06,Sunday,09:15:00,15:15:00,6.0,Halle 1
2024-10-06,Sunday,15:00:00,21:00:00,6.0,Halle 2
2024-10-07,Monday,16:15:00,22:00:00,5.75,Halle 1
2024-10-08,Tuesday,16:15:00,22:00:00,5.75,Halle 1
2024-10-09,Wednesday,15:15:00,22:00:00,6.75,Halle 1
2024-10-10,Thursday,15:15:00,22:30:00,7.25,Halle 1
2024-10-11,Friday,12:45:00,18:15:00,5.5,Halle 1
2024-10-11,Friday,18:00:00,23:30:00,5.5,Halle 2
2024-10-12,Saturday,09:15:00,16:00:00,6.75,Halle 1
2024-10-12,Saturday,15:45:00,22:30:00,6.75,Halle 2
2024-10-13,Sunday,09:15:00,15:15:00,6.0,Halle 1
2024-10-13,Sunday,15:00:00,21:00:00,6.0,Halle 2
2024-10-14,Monday,12:15:00,16:30:00,4.25,Halle 2
2024-10-14,Monday,16:15:00,22:00:00,5.75,Halle 1
2024-10-15,Tuesday,11:15:00,16:30:00,5.25,Halle 2
2024-10-15,Tuesday,16:15:00,22:30:00,6.25,Halle 1
2024-10-16,Wednesday,11:15:00,16:30:00,5.25,Halle 2
2024-10-16,Wednesday,16:15:00,22:00:00,5.75,Halle 1
2024-10-17,Thursday,11:15:00,16:30:00,5.25,Halle 2
2024-10-17,Thursday,16:15:00,22:30:00,6.25,Halle 1
2024-10-18,Friday,12:45:00,18:15:00,5.5,Halle 1
2024-10-18,Friday,18:00:00,23:30:00,5.5,Halle 2
2024-10-19,Saturday,09:15:00,16:00:00,6.75,Halle 1
2024-10-19,Saturday,15:45:00,22:30:00,6.75,Halle 2
2024-10-20,Sunday,09:15:00,15:15:00,6.0,Halle 1
2024-10-20,Sunday,15:00:00,21:00:00,6.0,Halle 2
2024-10-21,Monday,11:15:00,16:30:00,5.25,Halle 2
2024-10-21,Monday,16:15:00,22:00:00,5.75,Halle 1
2024-10-22,Tuesday,11:15:00,16:30:00,5.25,Halle 2
2024-10-22,Tuesday,16:15:00,22:00:00,5.75,Halle 1
2024-10-23,Wednesday,11:15:00,16:30:00,5.25,Halle 2
2024-10-23,Wednesday,16:15:00,22:00:00,5.75,Halle 1
2024-10-24,Thursday,11:15:00,16:30:00,5.25,Halle 2
2024-10-24,Thursday,16:15:00,22:30:00,6.25,Halle 1
2024-10-25,Friday,12:45:00,18:15:00,5.5,Halle 1
2024-10-25,Friday,18:00:00,23:30:00,5.5,Halle 2
2024-10-26,Saturday,09:15:00,16:00:00,6.75,Halle 1
2024-10-26,Saturday,15:45:00,22:30:00,6.75,Halle 2
2024-10-27,Sunday,09:15:00,15:15:00,6.0,Halle 1
2024-10-27,Sunday,15:00:00,21:00:00,6.0,Halle 2
2024-10-28,Monday,16:15:00,22:00:00,5.75,Halle 1
2024-10-29,Tuesday,16:15:00,22:30:00,6.25,Halle 1
2024-10-30,Wednesday,15:15:00,22:00:00,6.75,Halle 1
2024-10-31,Thursday,15:15:00,22:30:00,7.25,Halle 1
